iso3c,country,maternal_mortality,energy_use
SWE,Sweden,4,4288.83333908122
CHE,Switzerland,5,2511.37154209497
SYR,Syrian Arab Republic,20,395.892260403832
TJK,Tajikistan,14,393.055077961309
TZA,Tanzania,276,400.79903628363
THA,Thailand,34,1851.27231424167
TLS,Timor-Leste,192,NA
TGO,Togo,349,429.162601160928
TON,Tonga,67,NA
TTO,Trinidad and Tobago,54,10590.4282092029
TUN,Tunisia,36,901.544846500177
TUR,Turkiye,15,1849.53592344542
TKM,Turkmenistan,5,4558.64639369573
TUV,Tuvalu,170,NA
UGA,Uganda,170,497.390337772828
UKR,Ukraine,15,1508.27791300021
ARE,United Arab Emirates,3,9139.5423044996
GBR,United Kingdom,8,2127.6084341819
USA,United States,17,6363.50015820072
URY,Uruguay,15,1771.52729208681
UZB,Uzbekistan,26,1394.09046714259
VUT,Vanuatu,100,NA
VEN,"Venezuela, RB",227,1331.23284099658
VNM,Viet Nam,48,1018.06940422163
PSE,West Bank and Gaza,16,NA
YEM,"Yemen, Rep.",118,154.996261405398
ZMB,Zambia,85,804.223060174856
ZWE,Zimbabwe,358,472.22895786097
